,title,score
0,제이피셰프다이어리,3.0
1,마녀주방,3.0
2,팩피,4.0
3,서진식당,5.0
4,대한각,4.0
5,플로리다반점,5.0
6,여명,5.0
7,사랑방칼국수,4.0
8,일도씨 닭갈비,3.0
9,소라횟집,4.0
10,맛나식당,2.0
11,비타민국수,5.0
12,한라,5.0
13,더스푼,4.0
14,이팔곱창,3.0
15,갯내음,3.0
16,천미미,4.0
17,산울림1992,4.0
18,엄용백 돼지국밥,4.0
19,고향카츠,3.0
