,title,score
0,주반,5.0
1,레스쁘아 뒤 이부,4.0
2,영산강민물장어,5.0
3,딘타이펑 강남역점,3.0
4,외래향 서울대점,5.0
5,프라임스시,4.0
6,카페라붐,5.0
7,스시 려,4.0
8,자연콩,4.0
