,title,score
0,봉춘회관 부평점,3.0
1,옛날집콩국수,2.5
2,유동부 치아바타,2.5
3,육회공작소,2.5
4,연이랑콩이랑,2.5
5,대파생곱창,3.0
6,강변숯불갈비,2.5
7,하치카페,2.5
8,쉐라톤 데판야끼 더프레지던트,3.0
9,히또비또Bogisushi,3.0
10,33양꼬치,2.5
11,청산흑가마,3.0
12,배터지는집,2.5
13,조개포차,3.0
14,lululala (룰루랄라),2.5
15,욱이네양곱창,3.0
16,마리아쥬커피,3.0
17,엘아이티,3.0
18,황소갈비,2.5
19,동은성,2.5
