,title,score
0,대원옥,3.0
1,도마,3.0
2,청담찻집,2.5
3,그레이티커피,2.5
4,한밭식당,2.5
5,신마포갈매기 ,3.0
6,우라,2.5
7,통나무집사람들,3.5
8,깡통갈비,2.5
9,라이프 카레앤커피,2.5
10,메밀정원,3.0
11,THE김밥 갈마점,3.0
12,청춘불판,2.5
13,밥을짓다,2.5
14,갤러리엔키친포,3.0
15,중화가정,3.0
16,함초간장게장,2.5
17,맵수다 노형점,3.0
18,후통,2.5
19,아라폴리리빙턴소셜,2.5
