,title,score
0,진미막국수,3.5
1,잠수교집,3.5
2,제주에인감귤밭,3.5
3,망향비빔국수 본점,3.0
4,우남정,2.5
5,비스트로 바이 현,3.0
6,선산곱창,2.5
7,수하동 여의도지점,3.0
8,얼스어스,2.5
9,색동저고리,2.5
10,발쌈탕,3.0
11,청아횟집,2.5
12,오아시스,2.5
13,소나무한그루,3.0
14,여시관,3.0
15,돈까스클럽 익산남중점,2.5
16,카페모어즈,3.0
17,하나노오오카미,3.0
18,코쿠미,2.5
19,비어락하우스,2.5
