,title,score
0,범호고향밥상,5.0
1,호남9호회스페셜,4.0
2,베라짜노,3.0
3,동명,4.0
4,바다나라,4.0
5,논현손칼국수,4.0
6,왕자장어,4.0
7,삼호 짱뚱이,3.0
8,독수리다방,4.0
9,소문난쭈꾸미꼼장어,4.0
10,심양,4.0
11,초코 블로썸,5.0
12,온더보더 신촌점,4.0
13,오리지날 분식,4.0
14,벨라프라하,5.0
15,여우별을 꿈꾸는 늑대,4.0
16,페도러스,5.0
17,세시셀라 도산공원점,4.0
18,성북동집,4.0
19,돌집부대찌개,4.0
