,title,score
0,히까리,5.0
1,히까리,5.0
2,웰빙식단연구소,5.0
3,콩부인,5.0
4,카페마마스 강남역점,3.0
5,팔레 드 고몽,5.0
6,멜팅샵,5.0
7,스시효 청담점,5.0
